region,state,lgbtq_pop_total,lgbtq_pop_perc,year
alabama,AL,147,3.1,2021
alaska,AK,25,3.7,2021
arizona,AZ,286,4.5,2021
arkansas,AR,95,3.3,2021
california,CA,1859,5.3,2021
colorado,CO,234,4.6,2021
connecticut,CT,133,3.9,2021
delaware,DE,40,4.5,2021
florida,FL,886,4.6,2021
georgia,GA,425,4.5,2021
hawaii,HI,59,4.6,2021
idaho,ID,48,2.8,2021
illinois,IL,506,4.3,2021
indiana,IN,272,4.5,2021
iowa,IA,106,3.6,2021
kansas,KS,92,3.3,2021
kentucky,KY,144,3.4,2021
louisiana,LA,169,3.9,2021
maine,ME,60,4.9,2021
maryland,MD,234,4.2,2021
massachusetts,MA,335,5.4,2021
michigan,MI,373,4,2021
minnesota,MN,210,4.1,2021
mississippi,MS,99,3.5,2021
missouri,MO,217,3.8,2021
montana,MT,30,2.9,2021
nebraska,NE,67,3.8,2021
nevada,NV,145,5.5,2021
new hampshire,NH,59,4.7,2021
new jersey,NJ,343,4.1,2021
new mexico,NM,85,4.5,2021
new york,NY,913,5.1,2021
north carolina,NC,382,4,2021
north dakota,ND,20,2.7,2021
ohio,OH,462,4.3,2021
oklahoma,OK,138,3.8,2021
oregon,OR,207,5.6,2021
pennsylvania,PA,490,4.1,2021
rhode island,RI,44,4.5,2021
south carolina,SC,167,3.5,2021
south dakota,SD,25,3,2021
tennessee,TN,223,3.5,2021
texas,TX,1053,4.1,2021
utah,UT,104,3.7,2021
vermont,VT,30,5.2,2021
virginia,VA,308,3.9,2021
washington,WA,342,5.2,2021
west virginia,WV,68,4,2021
wisconsin,WI,207,3.8,2021
wyoming,WY,18,3.3,2021
