year,mean,sd,med,min,max,skew,kurtosis
2010,0.61,0.58,0.44,0,3.17,1.85,5.33
2011,0.52,0.51,0.41,0,2.38,1.32,1.9
2012,0.63,0.51,0.49,0,2.33,0.98,0.63
2013,1.19,0.88,1.04,0,3.25,0.44,-0.94
2014,1.74,1.24,1.48,0,4.56,0.43,-0.85
2015,1.79,1.21,1.69,0,4.36,0.22,-1.05
2016,1.82,1.27,1.7,0,4.74,0.43,-0.69
2017,1.96,1.39,1.84,0,5.79,0.49,-0.41
2018,2.12,1.6,1.83,0,6.24,0.65,-0.29
2019,2.32,1.63,1.92,0,5.83,0.47,-0.82
2020,2.4,1.65,2.14,0,6.42,0.38,-0.76
