year,mean,sd,med,min,max,skew,kurtosis
2014,86.5,6.92,88.08,68.18,98.18,-0.8,0.22
2015,85.69,7.23,85.48,63.44,100,-0.66,0.55
2016,85.66,6.96,85.74,63.1,98.04,-0.78,0.93
2017,85.94,6.54,85.76,61.36,100,-0.82,2.3
2018,85.57,6.74,86.71,57.69,97.92,-1.29,3.94
2019,75.86,9.29,76.66,41.8,93.33,-1.05,2.24
